Name,I1,I2,I3,TI1,TC1,TC2,C1,TC3,Url
FYP2012,9,0.05,100,2.44,1,165.99,0.63,27.67,https://github.com/wakandan/FYP 
FYP2015,1,0.01,100,694,8.95,1199.74,0.54,3.44,https://github.com/evandrix/Splat 
FYP2014,,,,,0.5,187.73,0.41,62,https://github.com/Quantza/fyp 
FYP2012,,,,,1.41,53.4,0.89,19,https://github.com/Raynos/fyp 
FYP2017,,,,,0.54,75.17,0.51,69,https://github.com/wanaimannnn/fyp 
FYP2017,1,0.03,0,,1.08,35.65,0.79,33,https://github.com/Vungo0510/FYP 
FYP2017,1,0.14,100,0,1.3,9.09,0.57,7,https://github.com/jikkuchacko/FYP 
FYP2017,1,0.04,100,,0.89,24.06,1,27,https://github.com/gihanwijesinghe/FYP 
FYP2017,,,,,1.7,50.86,0.6,15,https://github.com/wuthmone/Exchange-Rate-Predictor-Web-App 
FYP2017,,,,,3.78,83.18,0.68,7.33,https://github.com/Stefan0010/FYP 
FYP2011,,,,,3.02,126.76,0.43,10.5,https://github.com/stedolan/fyp 
FYP2015,,,,,12.02,120.19,0.8,2.5,https://github.com/littleniu/FYPhotoBrowser 
FYP2011,,,,,10.39,166.17,0.38,2.67,https://github.com/paruss/FYP 
FYP2016,,,,,3.67,197.98,0.35,9,https://github.com/ds216/FYP 
FYP2013,29,0.1,100,142.28,2.21,612.67,0.49,13.85,https://github.com/jvia/fyp 
FYP2016,,,,,2.17,75.95,0.6,17.5,https://github.com/cubecnelson/FYP 
FYP2016,17,0.28,100,4.12,1.55,93.29,0.42,20,https://github.com/leesyjasmine/fypcookies 
FYP2017,,,,,31.74,190.46,0.5,1,https://github.com/girisagar46/FYPFruitClassifier 
FYD2016,23,0.14,47,21,1.02,170.97,0.88,33.6,https://github.com/pjsinco/fyd 
FYD2016,6,0.3,100,0,3.35,64.94,0.65,10,https://github.com/Padavan94/FYD 
FYD2013,,,,,2.3,119.84,0.65,13,https://github.com/kdedakia/fydp 
FYD2013,6,0.08,83,10,2.6,210.23,0.39,11.29,https://github.com/Morton00000/FyD-1.5.1 
FYD2016,,,,,3.81,117.98,0.48,7.75,https://github.com/mmendel/FYDP 
FYD2017,2,0.03,100,0,3.17,250.29,0.68,9.88,https://github.com/stephensjlee/fydp 
FYD2017,3,0.07,100,2,5.58,239.89,0.51,5.38,https://github.com/FicciTong/fydp 
FYPD2016,116,0.28,100,0.02,0.71,294.01,0.52,45.89,https://github.com/Kamilla-K/FYDP 
FYPD2016,75,0.24,82,20.32,0.59,185.15,0.51,52.33,https://github.com/chrisngan24/fydp 
FYPD2016,,,,,0.31,10.22,0.94,33,https://github.com/mominirfan/FYDProject 
FYPD2016,2,0.13,0,0,4.06,60.85,0.67,5,https://github.com/zmbernho/FYDP 
FYD2017,24,0.32,91,1.91,3.58,264.86,0.28,8.22,https://github.com/jtmzheng/fydp 
201701gobees ,193,0.47,90,8.73,0.45,182.88,0.3,68.33,https://github.com/davidmigloz/go-bees 
201702 :: CalificacionesMoodle ,1,0.07,0,0,5.62,78.7,0.36,4.67,https://github.com/claumartinezh/TFG_UBUGrades 
201702 :: DietaPorDientes ,85,0.69,100,4.62,1.19,146.78,0.27,24.6,https://github.com/Itg0001/TFG_DietaPorDientes 
